x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x: [0.82426945]   , u:[-1.] , d:4.7374255997337125
x: [0.75748809]   , u:[-1.] , d:-6.502405549020204
x: [0.79070632]   , u:[-1.] , d:3.564334678028311
x: [0.73256372]   , u:[-1.] , d:-5.604966730782346
x: [0.72014127]   , u:[-1.] , d:-0.9748081584194902
x: [0.70271044]   , u:[-1.] , d:-1.4632246445756447
x: [0.71848819]   , u:[-1.] , d:1.8750644890697448
x: [0.72413871]   , u:[-1.] , d:0.8465637984742774
x: [0.83414691]   , u:[-1.] , d:11.276681389714387
x: [0.81009141]   , u:[-1.] , d:-2.2396965015659642
x: [0.81244258]   , u:[-1.] , d:0.4250254824595266
x: [0.79908793]   , u:[-1.] , d:-1.1479082349081262
x: [0.83311434]   , u:[-1.] , d:3.6035534465788124
x: [0.86705355]   , u:[-1.] , d:3.560806399119688
x: [0.86987604]   , u:[-1.] , d:0.4151961593882677
x: [0.88519247]   , u:[-1.] , d:1.661766576464545
x: [0.91649606]   , u:[-1.] , d:3.2451669472462474
x: [0.93407902]   , u:[-1.] , d:1.841799560264952
x: [0.9225719]   , u:[-1.] , d:-1.0847910716846885
x: [0.92737761]   , u:[-1.] , d:0.5579986951836788
x: [0.90607538]   , u:[-1.] , d:-2.0575997101282346
x: [0.91714381]   , u:[-1.] , d:1.2007671450380597
x: [0.90712809]   , u:[-1.] , d:-0.9187157502299439
x: [0.86031866]   , u:[-1.] , d:-4.588071620237935
x: [0.834977]   , u:[-1.] , d:-2.3944841447659315
x: [0.76792743]   , u:[-1.] , d:-6.539934068894951
x: [0.79673398]   , u:[-1.] , d:3.1127276737401854
x: [0.82766397]   , u:[-1.] , d:3.296265297756789
x: [0.77294421]   , u:[-1.] , d:-5.299640743422649
x: [0.79219609]   , u:[-1.] , d:2.1522445854653935
x: [0.76880453]   , u:[-1.] , d:-2.1313521641896314
x: [0.66575794]   , u:[-1.] , d:-10.07346367964045
x: [0.60980116]   , u:[-1.] , d:-5.261436036423812
x: [0.56928787]   , u:[-1.] , d:-3.6611306116439843
x: [0.60197313]   , u:[-1.] , d:3.699238564952336
x: [0.57322271]   , u:[-1.] , d:-2.477014958848059
x: [0.62224425]   , u:[-1.] , d:5.32893057682297
x: [0.64730548]   , u:[-1.] , d:2.8838791608833403
x: [0.5820154]   , u:[-1.] , d:-6.176313845541051
x: [0.54665688]   , u:[-1.] , d:-3.117866704229771
x: [0.5619459]   , u:[-1.] , d:1.9822449838393126
x: [0.46422062]   , u:[-1.] , d:-9.334474217837275
x: [0.40866933]   , u:[-1.] , d:-5.019349055479965
x: [0.35722072]   , u:[-1.] , d:-4.553530242466343
x: [0.28666543]   , u:[-1.] , d:-6.412750198564617
x: [0.24658698]   , u:[-1.] , d:-3.294510699105543
x: [0.22327645]   , u:[-1.] , d:-1.5776393326327687
x: [0.24064896]   , u:[-1.] , d:2.513973707805302
x: [0.19428506]   , u:[-1.] , d:-3.877038990400697
x: [0.16947456]   , u:[-1.] , d:-1.6753341687981431
x: [0.13120217]   , u:[-1.] , d:-2.9967138601643644
x: [0.11945532]   , u:[-1.] , d:-0.3058870382103385
x: [0.04967031]   , u:[-1.] , d:-6.097956953555462
x: [0.04954116]   , u:[-1.] , d:0.9374150233095031
x: [0.08144457]   , u:[-1.] , d:4.14079997268335
x: [0.04919574]   , u:[-1.] , d:-2.306327208166832
x: [0.05378549]   , u:[-1.] , d:1.4097788224157404
x: [-0.0677585]   , u:[-1.] , d:-11.208184665097017
x: [-0.02648495]   , u:[-1.] , d:5.19511342182461
x: [-0.09765367]   , u:[-1.] , d:-6.090386728222735
x: [-0.17681057]   , u:[-1.] , d:-6.81803660175716
x: [-0.18403552]   , u:[-1.] , d:0.4543161091354558
x: [-0.15463525]   , u:[-1.] , d:4.124062616214074
x: [-0.21239712]   , u:[-1.] , d:-4.621552163642021
x: [-0.18762631]   , u:[-1.] , d:3.6894782187902613
x: [-0.1811642]   , u:[-1.] , d:1.8338371381602827
x: [-0.19728658]   , u:[-1.] , d:-0.431073487749837
x: [-0.2457336]   , u:[-1.] , d:-3.6474158857325296
x: [-0.31240078]   , u:[-1.] , d:-5.420983758396236
x: [-0.31472471]   , u:[-1.] , d:1.0800071614329039
x: [-0.42983011]   , u:[-1.] , d:-10.195815195482336
x: [-0.459953]   , u:[-1.] , d:-1.5824592015024963
x: [-0.5319721]   , u:[-1.] , d:-5.741956139825749
x: [-0.51048737]   , u:[-1.] , d:3.680444412432402
x: [-0.49299459]   , u:[-1.] , d:3.2597653647190343
x: [-0.59265488]   , u:[-1.] , d:-8.473034035797214
x: [-0.63744309]   , u:[-1.] , d:-2.88616580877776
x: [-0.7425587]   , u:[-1.] , d:-8.874118219623812
x: [-0.83108844]   , u:[-1.] , d:-7.110415657667565
x: [-0.91838137]   , u:[-1.] , d:-6.898204545620273
x: [-0.94238859]   , u:[-1.] , d:-0.48233994390532015
x: [-0.91741144]   , u:[-1.] , d:4.440103394707948
x: [-0.93033638]   , u:[-1.] , d:0.6249166741884753
x: [-0.96534109]   , u:[-1.] , d:-1.5701340672476964
x: [-1.02301673]   , u:[-1.] , d:-3.8022226758525903
x: [-1.12311957]   , u:[-1.] , d:-7.987267091244741
x: [-1.27827767]   , u:[-1.] , d:-13.392690469309484
x: [-1.33299058]   , u:[-1.] , d:-3.1930139835688642
x: [-1.31112789]   , u:[-1.] , d:4.5192600582762825
x: [-1.33644649]   , u:[-1.] , d:-0.22073203969154906
x: [-1.37495209]   , u:[-1.] , d:-1.51411364330184
x: [-1.41233258]   , u:[-1.] , d:-1.3630970146699097
x: [-1.41359529]   , u:[-1.] , d:2.286061525126388
x: [-1.39162101]   , u:[-1.] , d:4.6110232663184005
x: [-1.41873412]   , u:[-1.] , d:-0.3196900434987935
x: [-1.46953072]   , u:[-1.] , d:-2.6609260162429504
x: [-1.48635303]   , u:[-1.] , d:0.7873000420127533
