x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x: [ 0.99118241 -1.66529235]   , u:[-1.  1.] , d:[3.4885533  5.30826675]
x: [ 0.95516537 -1.58105005]   , u:[-1.  1.] , d:[-3.59288645  9.08952159]
x: [ 0.96780777 -1.61158405]   , u:[-1.  1.] , d:[ 1.30907497 -2.47234953]
x: [ 0.97656354 -1.65743003]   , u:[-1.  1.] , d:[ 0.90776945 -3.9730141 ]
x: [ 0.94493545 -1.5935313 ]   , u:[-1.  1.] , d:[-3.13937285  7.04730301]
x: [ 0.9529113  -1.64787798]   , u:[-1.  1.] , d:[ 0.8526499  -4.84113646]
x: [ 0.96583173 -1.64577767]   , u:[-1.  1.] , d:[1.33913174 0.85790899]
x: [ 0.90526725 -1.65802078]   , u:[-1.  1.] , d:[-6.02228062 -0.57853374]
x: [ 0.90144709 -1.63509733]   , u:[-1.  1.] , d:[-0.28728263  2.95036573]
x: [ 0.89089493 -1.65034025]   , u:[-1.  1.] , d:[-0.95666373 -0.8891945 ]
x: [ 0.90887623 -1.73027061]   , u:[-1.  1.] , d:[ 1.90723565 -7.34269526]
x: [ 0.90199412 -1.73125636]   , u:[-1.  1.] , d:[-0.59708716  0.63169567]
x: [ 0.8393865  -1.80301217]   , u:[-1.  1.] , d:[-6.16275627 -6.44432521]
x: [ 0.84359192 -1.84826789]   , u:[-1.  1.] , d:[ 0.58115516 -3.72255972]
x: [ 0.8422683  -1.83903199]   , u:[-1.  1.] , d:[0.0240467  1.77185767]
x: [ 0.84847374 -1.89981139]   , u:[-1.  1.] , d:[ 0.77827534 -5.23890706]
x: [ 0.8359657  -1.89318761]   , u:[-1.  1.] , d:[-1.0992774   1.56218937]
x: [ 0.82620527 -1.92392895]   , u:[-1.  1.] , d:[-0.81200857 -2.18094642]
x: [ 0.80164112 -1.94715995]   , u:[-1.  1.] , d:[-2.28262046 -1.39917112]
x: [ 0.80453759 -1.93734532]   , u:[-1.  1.] , d:[0.4880052  1.92862243]
x: [ 0.77910416 -1.93103371]   , u:[-1.  1.] , d:[-2.3478805   1.56850642]
x: [ 0.82426945 -1.97714779]   , u:[-1.  1.] , d:[ 4.7374256  -3.68037455]
x: [ 0.75748809 -1.96326421]   , u:[-1.  1.] , d:[-6.50240555  2.36550615]
x: [ 0.79070632 -1.90838679]   , u:[-1.  1.] , d:[3.56433468 6.4510058 ]
x: [ 0.73256372 -1.95594316]   , u:[-1.  1.] , d:[-5.60496673 -3.84725023]
x: [ 0.72014127 -1.95983647]   , u:[-1.  1.] , d:[-0.97480816  0.56661241]
x: [ 0.70271044 -1.99150054]   , u:[-1.  1.] , d:[-1.46322464 -2.20657065]
x: [ 0.71848819 -1.97778266]   , u:[-1.  1.] , d:[1.87506449 2.36328924]
x: [ 0.72413871 -2.04226198]   , u:[-1.  1.] , d:[ 0.8465638  -5.47014962]
x: [ 0.83414691 -2.02892228]   , u:[-1.  1.] , d:[11.27668139  2.37623226]
x: [ 0.81009141 -1.99463116]   , u:[-1.  1.] , d:[-2.2396965   4.45803409]
